query	candidates	generation	gt	plan	arguments	all	file
Do you have any puzzles I can solve?	['Checkers', 'WebRewind', 'create_qr_code', 'aiAgents', 'RoboAd']	{'plan': 'create_qr_code', 'arguments': {}}	{'plan': 'Checkers', 'arguments': {}}	fail	pass	fail	metatool_testset.tsv
Do you have any puzzles I can try?	['mbti', 'Sudoku', 'chat_with_workspace', 'themeparkhipster', 'reflect_notes']	{'plan': 'Sudoku', 'arguments': {}}	{'plan': 'Sudoku', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Do you have any recommendations for Father's Day gifts?	['shimmer_daily', 'MediaTool', 'diceroller', 'LarkBaseImporter', 'decision_journal']	{'plan': 'shimmer_daily', 'arguments': {}}	{'plan': 'shimmer_daily', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Do you have any relevant links for a stand-up comedy gig?	['ai_council', 'haulingbuddies', 'smarttsicketsai', 'GifApi', 'ABCmouse']	{'plan': 'Smartticketsai', 'arguments': {}}	{'plan': 'smarttsicketsai', 'arguments': {}}	fail	pass	fail	metatool_testset.tsv
Do you have any suggestions for activities for my little ones?	['mini_habits', 'Discount', 'EarthquakeTool', 'Dr_Thoths_Tarot', 'ABCmouse']	{'plan': 'ABCmouse', 'arguments': {}}	{'plan': 'ABCmouse', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Do you know any recipes from Tasty's users?	['SASpeedCameras', 'calculator', 'recipe_retrieval', 'LawTool', 'NASATool']	{'plan': 'recipe_retrieval', 'arguments': {}}	{'plan': 'recipe_retrieval', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Do you know the availability of HDB car parks?	['word_sneak', 'KalendarAI', 'hdbcarpark', 'uk_politics', 'wpinteract']	{'plan': 'hdbcarpark', 'arguments': {}}	{'plan': 'hdbcarpark', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Does Chatbot have a plugin for creating avatar videos?	['CharityTool', 'SceneXplain', 'AutoInfra1', 'ArtCollection', 'heygen']	{'plan': 'heygen', 'arguments': {}}	{'plan': 'heygen', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Does Chatbot support multiple apps?	['word_sneak', 'search', 'HousePurchasingTool', 'rephrase', 'Zapier']	{'plan': 'Zapier', 'arguments': {'apps': ['Google Sheets', 'Gmail']}}	{'plan': 'Zapier', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
Has my email been hacked?	['MapTool', 'bramework', 'rephrase', 'WeatherTool', 'hacktrack']	{'plan': 'hacktrack', 'arguments': {}}	{'plan': 'hacktrack', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How accessible is my website?	['Bohita', 'ABCmouse', 'website_performance_insights', 'web_scraper', 'Sudoku']	{'plan': 'website_performance_insights', 'arguments': {}}	{'plan': 'website_performance_insights', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How accurate is the representation of the historical period?	['ProductComparison', 'bramework', 'timeport', 'internetSearch', 'stellarexplorer']	{'plan': 'timeport', 'arguments': {}}	{'plan': 'timeport', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can artificial intelligence help me in my Notion workspace?	['chat_with_workspace', 'KalendarAI', 'sakenowa', 'recipe_retrieval', 'Algorithma']	{'plan': 'chat_with_workspace', 'arguments': {}}	{'plan': 'chat_with_workspace', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can Chatbot help me with my emails?	['EmailByNylas', 'webhooks', 'Zapier', 'CourseTool', 'socialsearch']	{'plan': 'EmailByNylas', 'arguments': {}}	{'plan': 'EmailByNylas', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can Chatbot respond to my emails?	['CranePumpsManuals', 'PDF_Exporter', 'EmailByNylas', 'TicTacToe', 'ImageSearch']	{'plan': 'EmailByNylas', 'arguments': {}}	{'plan': 'EmailByNylas', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I access data sets from the US Census?	['socialsearch', 'qreator', 'blockatlas', 'Visla', 'CarYardBard']	{'plan': 'blockatlas', 'arguments': {}}	{'plan': 'blockatlas', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I access information about my company's calls?	['WebRewind', 'buildbetter', 'ph_ai_news_query', 'SASpeedCameras', 'web_scraper']	{'plan': 'buildbetter', 'arguments': {}}	{'plan': 'buildbetter', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I access my server remotely?	['SSH', 'PDF&URLTool', 'competitorppcads', 'PDF_Exporter', 'MixerBox_WebSearchG_web_search']	{'plan': 'SSH', 'arguments': {}}	{'plan': 'SSH', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I access the Chatbot Plugin?	['uk_politics', 'URLTool', 'Dr_Thoths_Tarot', 'LawTool', 'calculator']	{'plan': 'URLTool', 'arguments': {}}	{'plan': 'Dr_Thoths_Tarot', 'arguments': {}}	fail	pass	fail	metatool_testset.tsv
How can I advertise my business on Bing?	['noteable', 'TalentOrg', 'Google_Ads_Shopping_Microsoft_Ads_pay_per_click', 'AppyPieAIAppBuilder', 'Agones']	{'plan': 'Google_Ads_Shopping_Microsoft_Ads_pay_per_click', 'arguments': {}}	{'plan': 'Google_Ads_Shopping_Microsoft_Ads_pay_per_click', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I advertise my business on Google?	['korea_subway', 'ProductSearch', 'Google_Ads_Shopping_Microsoft_Ads_pay_per_click', 'KalendarAI', 'CompanyInfoTool']	{'plan': 'Google_Ads_Shopping_Microsoft_Ads_pay_per_click', 'arguments': {}}	{'plan': 'Google_Ads_Shopping_Microsoft_Ads_pay_per_click', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I analyze my data visually?	['talkfpl', 'internetSearch', 'JobTool', 'LarkBaseImporter', 'chatspot']	{'plan': 'LarkBaseImporter', 'arguments': {}}	{'plan': 'LarkBaseImporter', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I analyze my decisions?	['webhooks', 'PodcastTool', 'decision_journal', 'ImageSearch', 'MyWritingCompanion']	{'plan': 'decision_journal', 'arguments': {}}	{'plan': 'decision_journal', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I automate my tasks?	['bramework', 'shimmer_daily', 'hdbcarpark', 'dart', 'SASpeedCameras']	{'plan': 'dart', 'arguments': {}}	{'plan': 'dart', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I automate the deployment of my web app?	['local', 'AusPetrolPrices', 'deployscript', 'KalendarAI', 'CribbageScorer']	{'plan': 'deployscript', 'arguments': {}}	{'plan': 'deployscript', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I collaborate with my team on tasks?	['Magnetis', 'SEOTool', 'crafty_clues', 'themeparkhipster', 'dart']	{'plan': 'dart', 'arguments': {}}	{'plan': 'dart', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I connect with companies globally?	['storybird_stories', 'KalendarAI', 'seoanalysis', 'clearbit_integration', 'diceroller']	{'plan': 'clearbit_integration', 'arguments': {}}	{'plan': 'KalendarAI', 'arguments': {}}	fail	pass	fail	metatool_testset.tsv
How can I convert text to audio?	['word_sneak', 'dev', 'Dr_Thoths_Tarot', 'deployscript', 'speechki_tts_plugin']	{'plan': 'speechki_tts_plugin', 'arguments': {}}	{'plan': 'speechki_tts_plugin', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I create a customized ERP system?	['smarttsicketsai', 'fundsdbsearch', 'sakenowa', 'tailor_erp', 'Magnetis']	{'plan': 'tailor_erp', 'arguments': {}}	{'plan': 'tailor_erp', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I create a graphic for my design?	['web_requests', 'AppyPieAIAppBuilder', 'PDF&URLTool', 'Bohita', 'TicTacToe']	{'plan': 'Bohita', 'arguments': {}}	{'plan': 'Bohita', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I create a notebook in Python?	['Man_of_Many', 'noteable', 'GifApi', 'ph_ai_news_query', 'WeatherTool']	{'plan': 'noteable', 'arguments': {'language': 'Python'}}	{'plan': 'noteable', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
How can I create a Quick Response code?	['create_qr_code', 'KalendarAI', 'Horoscopes_by_Inner_Self', 'ChartTool', 'timeport']	{'plan': 'create_qr_code', 'arguments': {}}	{'plan': 'create_qr_code', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I create a visually rich experience?	['ai_council', 'SceneXplain', 'tira', 'CTCP', 'storybird_stories']	{'plan': 'SceneXplain', 'arguments': {}}	{'plan': 'SceneXplain', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I create an ASCII art with my text?	['blockatlas', 'internetSearch', 'KalendarAI', 'Figlet', 'AusSurfReport']	{'plan': 'Figlet', 'arguments': {'text': ''}}	{'plan': 'Figlet', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
How can I create an avatar video?	['total_query_meta_search_engine', 'NewsTool', 'heygen', 'BookTool', 'internetSearch']	{'plan': 'heygen', 'arguments': {}}	{'plan': 'heygen', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I create an HTTP webhook?	['ApexMap', 'Glowing', 'webhooks', 'shimmer_daily', 'CharityTool']	{'plan': 'webhooks', 'arguments': {}}	{'plan': 'webhooks', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I detect potential security threats on websites?	['QuiverQuantitative', 'hackit_web_scanner', 'SSH', 'photorealistic', 'total_query_meta_search_engine']	{'plan': 'hackit_web_scanner', 'arguments': {}}	{'plan': 'hackit_web_scanner', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I display the code as images?	['chatspot', 'QuiverQuantitative', 'Creaticode_Extension_of_MIT_Scratch', 'recipe_retrieval', 'AusSurfReport']	{'plan': 'Creaticode_Extension_of_MIT_Scratch', 'arguments': {}}	{'plan': 'Creaticode_Extension_of_MIT_Scratch', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I earn points playing a chat game?	['aiAgents', 'find_agency', 'word_sneak', 'KalendarAI', 'qreator']	{'plan': 'word_sneak', 'arguments': {}}	{'plan': 'word_sneak', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I experience a virtual life?	['CTCP', 'uk_politics', 'Algorithma', 'TicTacToe', 'mbti']	{'plan': 'Algorithma', 'arguments': {}}	{'plan': 'Algorithma', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I explore my data?	['noteable', 'EarthquakeTool', 'korea_subway', 'exportchat', 'brandfetch']	{'plan': 'notable', 'arguments': {}}	{'plan': 'noteable', 'arguments': {}}	fail	pass	fail	metatool_testset.tsv
How can I explore the art gallery in the Metropolitan Museum of Art?	['AppyPieAIAppBuilder', 'ResearchFinder', 'hacktrack', 'ArtCollection', 'hubbubworld_hubbub_1']	{'plan': 'ArtCollection', 'arguments': {}}	{'plan': 'ArtCollection', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I export a chat conversation into a PDF document?	['VideoSummarizeTool', 'universal', 'speak', 'PDF_Exporter', 'AusSurfReport']	{'plan': 'PDF_Exporter', 'arguments': {}}	{'plan': 'PDF_Exporter', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I export my conversation?	['ABCmouse', 'exportchat', 'ai_council', 'ProductComparison', 'ResearchFinder']	{'plan': 'exportchat', 'arguments': {}}	{'plan': 'exportchat', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I find a chord diagram for an E minor chord?	['ph_ai_news_query', 'HouseRentingTool', 'uberchord', 'find_agency', 'airqualityforeast']	{'plan': 'uberchord', 'arguments': {'chord_name': 'E minor'}}	{'plan': 'uberchord', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
How can I find AI-guided mentorship?	['VideoSummarizeTool', 'Substack_IQ', 'SummarizeAnything_pr', 'MusicTool', 'search']	{'plan': 'search', 'arguments': {'query': 'AI-guided mentorship'}}	{'plan': 'search', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
How can I find an interpreter for my meeting?	['speechki_tts_plugin', 'ShoppingAssistant', 'qreator', 'ChatOCR', 'speak']	{'plan': 'speak', 'arguments': {}}	{'plan': 'speak', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I find and hire a freelance engineer?	['clinq', 'TicTacToe', 'form', 'TalentOrg', 'brandfetch']	{'plan': 'TalentOrg', 'arguments': {}}	{'plan': 'TalentOrg', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I find high quality links?	['metaphor_search_api', 'VideoSummarizeTool', 'keywordexplorer', 'Planfit', 'themeparkhipster']	{'plan': 'metaphor_search_api', 'arguments': {}}	{'plan': 'metaphor_search_api', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I find Islamic advice on making difficult decisions?	['hadith', 'create_qr_code', 'mini_habits', 'ApexMap', 'CompanyInfoTool']	{'plan': 'hadith', 'arguments': {'question': 'How can I find Islamic advice on making difficult decisions?'}}	{'plan': 'hadith', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
How can I find out a website's PPC ad history?	['blockatlas', 'CourseTool', 'recipe_retrieval', 'C3_Glide', 'competitorppcads']	{'plan': 'competitorppcads', 'arguments': {'website_address': None}}	{'plan': 'competitorppcads', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
How can I form new habits with mini habits?	['mini_habits', 'CourseTool', 'local', 'Figlet', 'ApexMap']	{'plan': 'mini_habits', 'arguments': {}}	{'plan': 'mini_habits', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I generate audio from text?	['lsongai', 'CompanyInfoTool', 'crafty_clues', 'speechki_tts_plugin', 'talkfpl']	{'plan': 'speechki_tts_plugin', 'arguments': {}}	{'plan': 'speechki_tts_plugin', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I generate photorealistic prompts for Midjourney?	['storybird_stories', 'heygen', 'DietTool', 'timeport', 'photorealistic']	{'plan': 'photorealistic', 'arguments': {}}	{'plan': 'photorealistic', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I generate revenue with no effort?	['MixerBox_WebSearchG_web_search', 'Talkface_IELTS_Prep', 'MusicTool', 'haulingbuddies', 'KalendarAI']	{'plan': 'KalendarAI', 'arguments': {}}	{'plan': 'KalendarAI', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I generate templates for visuals?	['placid', 'WebsiteTool', 'sakenowa', 'Agones', 'abc_to_audio']	{'plan': 'placid', 'arguments': {}}	{'plan': 'placid', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I get a snapshot of this website at a certain date?	['total_query_meta_search_engine', 'WebRewind', 'CTCP', 'clinq', 'TalentOrg']	{'plan': 'WebRewind', 'arguments': {'website_url': '', 'date': ''}}	{'plan': 'WebRewind', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
How can I get information about ranking difficulty?	['bramework', 'AbleStyle', 'timemachine', 'hacktrack', 'webhooks']	{'plan': 'bramework', 'arguments': {}}	{'plan': 'bramework', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I get insights from top product experts?	['kraftful', 'CreditYelp', 'Google_Ads_Shopping_Microsoft_Ads_pay_per_click', 'MemeTool', 'bramework']	{'plan': 'kraftful', 'arguments': {}}	{'plan': 'kraftful', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I get personalised learning for the IELTS speaking exam?	['cloudflare_radar', 'buildbetter', 'Talkface_IELTS_Prep', 'locator', 'DietTool']	{'plan': 'Talkface_IELTS_Prep', 'arguments': {}}	{'plan': 'Talkface_IELTS_Prep', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I get real-time insights into Internet data?	['cloudflare_radar', 'LawTool', 'CourseTool', 'DietTool', 'jini']	{'plan': 'cloudflare_radar', 'arguments': {}}	{'plan': 'cloudflare_radar', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I have an intelligent conversation in my Notion workspace?	['clinical_trial_radar', 'ResumeTool', 'BookTool', 'chat_with_workspace', 'social_media_muse']	{'plan': 'chat_with_workspace', 'arguments': {}}	{'plan': 'chat_with_workspace', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I import structured data?	['recipe_retrieval', 'LarkBaseImporter', 'clinq', 'timemachine', 'universal']	{'plan': 'LarkBaseImporter', 'arguments': {}}	{'plan': 'LarkBaseImporter', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I improve my website's SEO?	['RepoTool', 'ResumeTool', 'website_performance_insights', 'speechki_tts_plugin', 'SceneXplain']	{'plan': 'website_performance_insights', 'arguments': {}}	{'plan': 'website_performance_insights', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I integrate multiple AI agents into the same task?	['aiAgents', 'NASATool', 'MemeTool', 'storybird_stories', 'ApexMap']	{'plan': 'aiAgents', 'arguments': {}}	{'plan': 'aiAgents', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I learn design quickly?	['Tax_Calculator', 'search', 'AbleStyle', 'rephrase', 'mbti']	{'plan': 'search', 'arguments': {'query': 'how can I learn design quickly'}}	{'plan': 'search', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
How can I make a note of this conversation?	['ProductSearch', 'noteable', 'reflect_notes', 'Figlet', 'magi_codex']	{'plan': 'reflect_notes', 'arguments': {}}	{'plan': 'reflect_notes', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I make better decisions?	['universal', 'PDF&URLTool', 'web_scraper', 'decision_journal', 'ShoppingAssistant']	{'plan': 'decision_journal', 'arguments': {}}	{'plan': 'decision_journal', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I make changes to my code?	['GifApi', 'dev', 'tailor_erp', 'LarkBaseImporter', 'AutoInfra1']	{'plan': 'dev', 'arguments': {}}	{'plan': 'AutoInfra1', 'arguments': {}}	fail	pass	fail	metatool_testset.tsv
How can I make sure I'm getting the best deal?	['copilot', 'AbleStyle', 'timeport', 'Sudoku', 'deployscript']	{'plan': 'copilot', 'arguments': {}}	{'plan': 'copilot', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I make the process more efficient?	['hdbcarpark', 'ExchangeTool', 'SEOTool', 'aiAgents', 'MixerBox_WebSearchG_web_search']	{'plan': 'aiAgents', 'arguments': {}}	{'plan': 'aiAgents', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I make the program easier to read?	['CreditYelp', 'AI2sql', 'form', 'Creaticode_Extension_of_MIT_Scratch', 'keyplays_football']	{'plan': 'Creaticode_Extension_of_MIT_Scratch', 'arguments': {}}	{'plan': 'Creaticode_Extension_of_MIT_Scratch', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I make this experience as immersive as possible?	['word_counter', 'clearbit_integration', 'timeport', 'Puzzle_Constructor', 'locator']	{'plan': 'timeport', 'arguments': {}}	{'plan': 'timeport', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I manage my data?	['LarkBaseImporter', 'WebRewind', 'bramework', 'CharityTool', 'portfoliopilot']	{'plan': 'LarkBaseImporter', 'arguments': {}}	{'plan': 'LarkBaseImporter', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I measure the success of my advertising campaigns?	['ApexMap', 'HouseRentingTool', 'socialsearch', 'Google_Ads_Shopping_Microsoft_Ads_pay_per_click', 'MusicTool']	{'plan': 'Google_Ads_Shopping_Microsoft_Ads_pay_per_click', 'arguments': {}}	{'plan': 'Google_Ads_Shopping_Microsoft_Ads_pay_per_click', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I optimize my content using keywords?	['PodcastTool', 'AusSurfReport', 'keywordexplorer', 'metaphor_search_api', 'speak']	{'plan': 'keywordexplorer', 'arguments': {}}	{'plan': 'keywordexplorer', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I quickly count the points for my cribbage cards?	['TicTacToe', 'champdex', 'CribbageScorer', 'FinanceTool', 'themeparkhipster']	{'plan': 'CribbageScorer', 'arguments': {}}	{'plan': 'CribbageScorer', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I reach potential customers globally?	['IndoorPlants', 'hubbubworld_hubbub_1', 'champdex', 'KalendarAI', 'kraftful']	{'plan': 'KalendarAI', 'arguments': {}}	{'plan': 'KalendarAI', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I remember my decisions?	['TicTacToe', 'ResearchHelper', 'AusSurfReport', 'decision_journal', 'Glowing']	{'plan': 'decision_journal', 'arguments': {}}	{'plan': 'decision_journal', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I retrieve data related to Internet usage?	['CreditYelp', 'cloudflare_radar', 'NASATool', 'ShoppingAssistant', 'ChartTool']	{'plan': 'cloudflare_radar', 'arguments': {}}	{'plan': 'cloudflare_radar', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I review my decisions?	['ph_ai_news_query', 'decision_journal', 'AutoInfra1', 'GameTool', 'Broadway']	{'plan': 'decision_journal', 'arguments': {}}	{'plan': 'decision_journal', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I save a copy of my conversation?	['ShoppingAssistant', 'haulingbuddies', 'airqualityforeast', 'WebsiteTool', 'exportchat']	{'plan': 'exportchat', 'arguments': {}}	{'plan': 'exportchat', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I stylize the PDF version of my chat conversation?	['rephrase', 'PDF_Exporter', 'MixerBox_WebSearchG_web_search', 'website_performance_insights', 'TripTool']	{'plan': 'PDF_Exporter', 'arguments': {}}	{'plan': 'PDF_Exporter', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I track all of the calls my company makes?	['web_requests', 'Checkers', 'chatspot', 'wpinteract', 'buildbetter']	{'plan': 'buildbetter', 'arguments': {}}	{'plan': 'buildbetter', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I transform my text into an ASCII font?	['ad4mat', 'NewsTool', 'ai_council', 'MusicTool', 'Figlet']	{'plan': 'figlet', 'arguments': {'text': ''}}	{'plan': 'Figlet', 'arguments': {}}	fail	fail	fail	metatool_testset.tsv
How can I turn my app idea into an Android/iOS app?	['storybird_stories', 'Man_of_Many', 'AppyPieAIAppBuilder', 'Algorithma', 'sakenowa']	{'plan': 'AppyPieAIAppBuilder', 'arguments': {}}	{'plan': 'AppyPieAIAppBuilder', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I turn my text into a cool ASCII font?	['total_query_meta_search_engine', 'hubbubworld_hubbub_1', 'Figlet', 'TripTool', 'ChartTool']	{'plan': 'Figlet', 'arguments': {'text': ''}}	{'plan': 'Figlet', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
How can I use a plugin for creating images with Midjourney?	['Checkers', 'korea_subway', 'mini_habits', 'photorealistic', 'tira']	{'plan': 'photorealistic', 'arguments': {'prompt': 'creating images with Midjourney'}}	{'plan': 'photorealistic', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
How can I use daily actions to form new habits?	['mini_habits', 'KalendarAI', 'VideoSummarizeTool', 'LarkBaseImporter', 'Sudoku']	{'plan': 'mini_habits', 'arguments': {}}	{'plan': 'mini_habits', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I use keywords to boost my content?	['what_to_watch', 'Glowing', 'ArtCollection', 'lsongai', 'keywordexplorer']	{'plan': 'keywordexplorer', 'arguments': {}}	{'plan': 'keywordexplorer', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I use live chat to increase sales?	['HousePurchasingTool', 'GifApi', 'KalendarAI', 'WebsiteTool', 'storybird_stories']	{'plan': 'KalendarAI', 'arguments': {}}	{'plan': 'KalendarAI', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I use Notion as a collaboration tool?	['LarkBaseImporter', 'chat_with_workspace', 'Creaticode_Extension_of_MIT_Scratch', 'uk_politics', 'URLTool']	{'plan': 'chat_with_workspace', 'arguments': {}}	{'plan': 'chat_with_workspace', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I use performance marketing to make money?	['total_query_meta_search_engine', 'Figlet', 'ad4mat', 'MapTool', 'GiftTool']	{'plan': 'ad4mat', 'arguments': {}}	{'plan': 'ad4mat', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I use the Scratch plugin?	['MusicTool', 'clinical_trial_radar', 'dart', 'speak', 'Creaticode_Extension_of_MIT_Scratch']	{'plan': 'Creaticode_Extension_of_MIT_Scratch', 'arguments': {}}	{'plan': 'Creaticode_Extension_of_MIT_Scratch', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I use web security technology to protect me online?	['hackit_web_scanner', 'uberchord', 'MixerBox_WebSearchG_web_search', 'Bohita', 'Zapier']	{'plan': 'hackit_web_scanner', 'arguments': {}}	{'plan': 'hackit_web_scanner', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I view potential candidates' profiles?	['FinanceTool', 'PDF_Exporter', 'TalentOrg', 'talkfpl', 'KalendarAI']	{'plan': 'TalentOrg', 'arguments': {}}	{'plan': 'TalentOrg', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I view products from Tira's marketplace?	['TalentOrg', 'themeparkhipster', 'tira', 'korea_subway', 'search']	{'plan': 'tira', 'arguments': {}}	{'plan': 'tira', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I write an email to apply for a job?	['KalendarAI', 'JobTool', 'dover_outreach', 'WebRewind', 'total_query_meta_search_engine']	{'plan': 'dover_outreach', 'arguments': {'name': '', 'job_title': ''}}	{'plan': 'dover_outreach', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
How can StoreYa help me with my advertising needs?	['Review', 'placid', 'clearbit_integration', 'WordCloud', 'Google_Ads_Shopping_Microsoft_Ads_pay_per_click']	{'plan': 'Google_Ads_Shopping_Microsoft_Ads_pay_per_click', 'arguments': {}}	{'plan': 'Google_Ads_Shopping_Microsoft_Ads_pay_per_click', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can Talkface help me with IELTS speaking?	['Talkface_IELTS_Prep', 'ResearchFinder', 'QuiverQuantitative', 'buildbetter', 'timemachine']	{'plan': 'Talkface_IELTS_Prep', 'arguments': {}}	{'plan': 'Talkface_IELTS_Prep', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How do context operators work?	['Visla', 'word_sneak', 'Now', 'FinanceTool', 'clinical_trial_radar']	{'plan': 'word_sneak', 'arguments': {'secret_words': ['context operators']}}	{'plan': 'clinical_trial_radar', 'arguments': {}}	fail	fail	fail	metatool_testset.tsv
How do I access data from Clearbit?	['find_agency', 'PolishTool', 'Horoscopes_by_Inner_Self', 'clearbit_integration', 'competitorppcads']	{'plan': 'clearbit_integration', 'arguments': {}}	{'plan': 'clearbit_integration', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How do I access tweets using the Twitter API?	['Tax_Calculator', 'ExchangeTool', 'dover_outreach', 'decision_journal', 'socialsearch']	{'plan': 'socialsearch', 'arguments': {}}	{'plan': 'socialsearch', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How do I activate the Do Not Disturb feature?	['timemachine', 'shimmer_daily', 'SASpeedCameras', 'clinq', 'timeport']	{'plan': 'clinq', 'arguments': {'action': 'activate_do_not_disturb'}}	{'plan': 'clinq', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
How do I book meetings with potential customers?	['find_agency', 'speak', 'internetSearch', 'form', 'KalendarAI']	{'plan': 'KalendarAI', 'arguments': {}}	{'plan': 'KalendarAI', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
